URL,Title,Address
https://newyork.craigslist.org/mnh/egr/d/new-york-city-fire-sprinkler-project/6833387994.html,Fire Sprinkler Project Designer," (New York, NY)"
https://newyork.craigslist.org/que/egr/d/long-island-city-project-manager/6833381577.html,Project Manager,
https://newyork.craigslist.org/brk/egr/d/brooklyn-autocad-drafter/6833356094.html,AutoCAD drafter,
https://newyork.craigslist.org/lgi/egr/d/melville-architect-in-training/6833346446.html,Architect in Training," (Huntington Station, NY)"
https://newyork.craigslist.org/mnh/egr/d/new-york-city-design-and-technical/6833339600.html,Design and Technical Specialist – Modern Closets & Millwork (PT or FT), (Flatiron)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-midtown-architecture/6833237379.html,Midtown Architecture Office searching for an Architectural Candidate, (Midtown West)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-looking-for-mini-me/6833141463.html,Looking for Mini-Me - Architect Partnership Opportunity, (Midtown)
https://newyork.craigslist.org/que/egr/d/project-architects/6833083996.html,Project Architect(s)," (Jamaica, Queens)"
https://newyork.craigslist.org/lgi/egr/d/ronkonkoma-product-design-engineer/6833068959.html,Product Design Engineer, (Ronkonkoma)
https://newyork.craigslist.org/que/egr/d/bayside-junior-architect-and-or/6832984207.html,Junior Architect and/or Structural Engineer (EIT)," (Bayside, Queens)"
https://newyork.craigslist.org/mnh/egr/d/it-support-specialist-cad-specialist/6832943173.html,IT Support Specialist / CAD Specialist, (Flatiron)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-interior-architect/6832568580.html,INTERIOR ARCHITECT/ INTERIOR DESIGNER, (Chelsea)
https://newyork.craigslist.org/brk/egr/d/draftperson-estimator-for-woodworking/6832433095.html,Draftperson/Estimator for Woodworking," (Brooklyn, NY)"
https://newyork.craigslist.org/mnh/egr/d/new-york-city-project-manager/6832398784.html,Project Manager (Architecture) for Real Estate firm, (Midtown)
https://newyork.craigslist.org/que/egr/d/ridgewood-project-manager-autocad/6832368585.html,Project manager autocad millwork draftsman, (Glendale Queens NY)
https://newyork.craigslist.org/mnh/egr/d/studio-assistant/6832342465.html,Studio Assistant, (Chelsea)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-smart-precise-high-energy/6832226039.html,"Smart, precise,  high-energy team members to launch new product line", (Union Square)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-seeking-autocad-operator/6832216139.html,Seeking AutoCad Operator- Exceptional $, (Work at Home)
https://newyork.craigslist.org/mnh/egr/d/project-architect/6832168944.html,Project architect,
https://newyork.craigslist.org/mnh/egr/d/new-york-city-furniture-design-and/6831981008.html,Furniture Design and Sales Position in Manhattan, (Upper East Side)
https://newyork.craigslist.org/brk/egr/d/brooklyn-construction-project-manager/6831855850.html,Construction Project Manager, (Brooklyn)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-autocad-operator-junior/6831740202.html,AutoCAD Operator/Junior Architect, (Midtown East)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-estimator-drywall/6831416038.html,ESTIMATOR - DRYWALL & ACOUSTICAL, (Midtown)
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-architect/6831331766.html,Facade / Building Envelope Architect, (TriBeCa)
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-project/6831331119.html,Facade / Building Envelope Project Architect, (TriBeCa)
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-structural/6831330548.html,Facade / Building Envelope Structural Engineer, (TriBeCa)
https://newyork.craigslist.org/que/egr/d/hvac-service-technician/6831106267.html,HVAC Service Technician, (Maspeth)
https://newyork.craigslist.org/mnh/egr/d/astoria-estimator-business-development/6831039313.html,Estimator/Business Development/Sales, (New York)
https://newyork.craigslist.org/brk/egr/d/brooklyn-construction-site/6831014046.html,Construction Site Superintendent, (Brooklyn)
https://newyork.craigslist.org/que/egr/d/maspeth-hvac-drafter/6830989327.html,HVAC Drafter,
https://newyork.craigslist.org/mnh/egr/d/new-york-city-3d-visualizer-contract/6830965904.html,3D Visualizer - Contract (remote option),
https://newyork.craigslist.org/fct/egr/d/norwalk-associate-architect-with-barch/6830948439.html,Associate Architect with a B.Arch. or M.Arch. degree, (South Norwalk CT)
https://newyork.craigslist.org/que/egr/d/jamaica-experienced-drafter/6830434277.html,EXPERIENCED DRAFTER, (5 BOUROUGHS)
https://newyork.craigslist.org/que/egr/d/draftsperson-architectural-woodwork/6830432672.html,Draftsperson / Architectural Woodwork, (Queens)
https://newyork.craigslist.org/que/egr/d/autocad-drafter/6830403222.html,Autocad Drafter,
https://newyork.craigslist.org/brk/egr/d/junior-intermediate-architect/6830261607.html,Junior / Intermediate Architect, (midwood)
https://newyork.craigslist.org/brk/egr/d/brooklyn-senior-interior-designer-home/6830114486.html,Senior Interior Designer - Home Studios,
https://newyork.craigslist.org/mnh/egr/d/new-york-city-career-opportunities-in/6830072871.html,Career Opportunities in Engineering for Immigrant Professionals, (New York)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-junior-architect/6830072599.html,Junior Architect, (Chelsea)
https://newyork.craigslist.org/que/egr/d/college-point-jr-architect-draftsperson/6830050338.html,Jr Architect  /  Draftsperson," (129-20 20th ave College Point, NY)"
https://newyork.craigslist.org/mnh/egr/d/new-york-city-bim-autocad-manager/6830046033.html,BIM/AUTOCAD MANAGER, (Midtown West)
https://newyork.craigslist.org/wch/egr/d/white-plains-senior-cost-estimator/6830011040.html,Senior Cost Estimator, (White Plains)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-mechanical-designers/6829978022.html,Mechanical Designers,
https://newyork.craigslist.org/mnh/egr/d/registered-architect/6829758332.html,Registered Architect, (Flatiron)
https://newyork.craigslist.org/mnh/egr/d/intermediate-designer/6829756866.html,Intermediate Designer, (Flatiron)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-junior-revit-architect-3/6829745419.html,Junior Revit Architect (3 yrs experience min. - local applicants only), (Downtown)
https://newyork.craigslist.org/brk/egr/d/brooklyn-dot-dob-permit-expediter/6829735603.html,DOT/ DOB Permit expediter,
https://newyork.craigslist.org/mnh/egr/d/new-york-city-architectural-designer/6829728359.html,Architectural Designer, (Midtown West)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-senior-level-architect/6829686769.html,SENIOR LEVEL ARCHITECT, (Chelsea)
https://newyork.craigslist.org/que/egr/d/ridgewood-hvac-estimator/6829683683.html,HVAC Estimator," (Queens, NY)"
https://newyork.craigslist.org/mnh/egr/d/new-york-city-intermediate-architect/6829661980.html,Intermediate Architect, (Midtown West)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-architect-with-2-to-12/6829659786.html,Architect with 2 to 12 years Experience, (Midtown West)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-junior-architect/6829654068.html,Junior Architect, (Midtown West)
https://newyork.craigslist.org/brk/egr/d/brooklyn-assistant-project-manager/6829635343.html,Assistant Project Manager," (Brooklyn, NY)"
https://newyork.craigslist.org/mnh/egr/d/new-york-city-intermediate-architect/6829604522.html,Intermediate Architect - Revit, (Downtown)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-architectural-spring/6829561277.html,Architectural Spring Internship – Student or Recent Graduate, (Downtown)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-gym-spa-interior-designer/6829552500.html,Gym & Spa Interior Designer, (Manhattan)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-account-manager-furniture/6829508815.html,Account Manager-Furniture Design, (Midtown)
https://newyork.craigslist.org/fct/egr/d/bridgeport-cabinet-draftsman/6829356405.html,Cabinet Draftsman," (Bridgeport, CT)"
https://newyork.craigslist.org/que/egr/d/long-island-city-entry-level-field/6829343174.html,Entry Level Field Technician, (NYC All areas)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-water-treatment/6829263166.html,Water Treatment Specialist/ Chemist," (Sigonella, Italy)"
https://newyork.craigslist.org/mnh/egr/d/valley-stream-hvac-sheet-metal-sketcher/6829252264.html,HVAC Sheet Metal Sketcher, (Valley Stream)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-architectural-designer/6828905326.html,Architectural Designer | Commercial, (Midtown West)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-architectural-project/6828874897.html,Architectural Project Manager / Architectural Designer, (SoHo)
https://newyork.craigslist.org/brk/egr/d/brooklyn-pro-aire-design-seeking-draft/6828752631.html,Pro Aire Design seeking Draft / CAD Assistant - Full-Time, (East Flatbush)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-revit-architect-exterior/6828724508.html,Revit Architect | Exterior Detailer, (Downtown)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-construction-project/6828544148.html,Construction Project Manager,
https://newyork.craigslist.org/mnh/egr/d/new-york-city-senior-estimator-for/6828540682.html,Senior Estimator for General Contracting Company (Midtown West), (Midtown West)
https://newyork.craigslist.org/mnh/egr/d/architectural-consultant-expediter/6828462444.html,Architectural Consultant/Expediter, (Downtown)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-auto-cad-drafter-midtown/6828202735.html,Auto CAD Drafter - (Midtown),
https://newyork.craigslist.org/mnh/egr/d/new-york-city-construction-project/6828200163.html,Construction Project Manager - NYC, (Midtown West)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-cad-manager-bim-specialist/6828178427.html,CAD Manager/BIM Specialist, (New York)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-project-architect-complex/6828050340.html,Project Architect / Complex Base Building, (Downtown)
https://newyork.craigslist.org/fct/egr/d/shelton-administrative-assistant/6828029650.html,Administrative Assistant," (Shelton, CT)"
https://newyork.craigslist.org/mnh/egr/d/new-york-city-interior-design/6827989481.html,Interior Design / Hospitality, (SoHo)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-junior-estimator/6827887930.html,Junior Estimator, (Midtown)
https://newyork.craigslist.org/lgi/egr/d/merrick-draftsman-for-building-permits/6827849511.html,Draftsman for Building Permits, (Merrick)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-project-manager-for-top/6827847374.html,Project Manager for TOP Expediting Firm!!, (Midtown West)
https://newyork.craigslist.org/brx/egr/d/bronx-use-lego-to-teach-kids/6827808116.html,Use LEGO® to teach kids engineering concepts!,
https://newyork.craigslist.org/mnh/egr/d/new-york-city-junior-interior-designer/6827700796.html,Junior Interior Designer, (Flatiron)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-junior-draftsman/6827651724.html,Junior Draftsman/Architect with Purchasing Experience, (Midtown West)
https://newyork.craigslist.org/que/egr/d/richmond-hill-buildings-electrical/6827640253.html,Buildings / Electrical / Mechanical Inspector," (Richmond Hill, Queens, NY)"
https://newyork.craigslist.org/mnh/egr/d/new-york-city-interior-designer-lead/6827639442.html,Interior Designer - Lead Position, (New York)
https://newyork.craigslist.org/que/egr/d/middle-village-chief-plumbing-estimator/6827325150.html,Chief Plumbing Estimator, (Middle Village)
https://newyork.craigslist.org/que/egr/d/architect-cad-with-project-management/6827163785.html,Architect CAD with Project Management duties, (Maspeth)
https://newyork.craigslist.org/brk/egr/d/brooklyn-estimator-autocad/6827045221.html,Estimator - AutoCAD, (Brooklyn)
https://newyork.craigslist.org/mnh/egr/d/project-architect/6826976059.html,Project architect,
https://newyork.craigslist.org/mnh/egr/d/refrigeration-engineer-hvac/6826608948.html,Refrigeration Engineer (HVAC), (TriBeCa)
https://newyork.craigslist.org/mnh/egr/d/mechanical-hvac-engineer/6826572795.html,Mechanical (HVAC) Engineer, (TriBeCa)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-retail-architecture/6825919317.html,Retail / Architecture Designers (w/ AUTOCAD) - Onsite,
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-junior/6825884047.html,Facade / Building Envelope Junior Architect, (TriBeCa)
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-architect/6825883469.html,Facade / Building Envelope Architect, (TriBeCa)
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-project/6825882698.html,Facade / Building Envelope Project Architect, (TriBeCa)
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-structural/6825881996.html,Facade / Building Envelope Structural Engineer, (TriBeCa)
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-structural/6825881148.html,Facade / Building Envelope Structural Project Engineer, (TriBeCa)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-architectural-studio/6825876266.html,Architectural Studio Assistant, (Chelsea)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-architectural-job-captain/6825719549.html,Architectural Job Captain, (Midtown West)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-proposal-coordinator/6825532560.html,Proposal Coordinator, (SoHo)
https://newyork.craigslist.org/brk/egr/d/brooklyn-freelance-part-time-product/6825519138.html,FREELANCE / PART TIME  PRODUCT ENGINEERING & DEVELOP'T  POSITION, (Brooklyn)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-design-director/6825505164.html,Design Director | Architecture Interiors, (Midtown West)
https://newyork.craigslist.org/brk/egr/d/brooklyn-structural-engineer-pe-or-eit/6825387027.html,Structural Engineer P.E. or E.I.T.,
https://newyork.craigslist.org/fct/egr/d/stamford-draftsperson-project-architect/6824939597.html,DRAFTSPERSON- PROJECT ARCHITECT POSITION AVAILABLE," (Stamford, CT)"
https://newyork.craigslist.org/wch/egr/d/stamford-draftsperson-project-architect/6824937308.html,DRAFTSPERSON/PROJECT ARCHITECT POSITION AVAILABLE," (Stamford, CT)"
https://newyork.craigslist.org/que/egr/d/great-neck-architect-entry-level/6824751684.html,ARCHITECT-ENTRY LEVEL/ INTERMEDIATE, (Great Neck)
https://newyork.craigslist.org/que/egr/d/bronx-project-architect/6824672324.html,Project Architect, (Jamaica)
https://newyork.craigslist.org/brx/egr/d/bronx-construction-estimator/6824436514.html,Construction Estimator, (Bronx)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-intermediate/6824185609.html,Intermediate Architectural Associate AZARK Design & Development, (Midtown)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-information-technology/6824149871.html,Information Technology Client Service Specialist, (SoHo)
https://newyork.craigslist.org/mnh/egr/d/architect-with-2-years-exp/6823902017.html,Architect with 2 years exp.,
https://newyork.craigslist.org/mnh/egr/d/new-york-city-account-manager-furniture/6823868494.html,Account Manager-Furniture Design, (Midtown)
https://newyork.craigslist.org/que/egr/d/junior-architect/6823846085.html,JUNIOR ARCHITECT, (NEW YORK)
https://newyork.craigslist.org/wch/egr/d/new-rochelle-cad-operator-designer/6823809932.html,CAD Operator / Designer," (New Rochelle, NY)"
https://newyork.craigslist.org/mnh/egr/d/new-york-city-intermediate-architect/6823748003.html,INTERMEDIATE ARCHITECT, (Midtown East)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-remote-impactful-business/6823552539.html,Remote Impactful Business Writer,
https://newyork.craigslist.org/mnh/egr/d/new-york-city-hotel-engineer/6823356561.html,Hotel Engineer, (Chelsea)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-remote-wearables-engineer/6823328924.html,Remote Wearables Engineer/Industrial Designer for Med device comp,
https://newyork.craigslist.org/lgi/egr/d/great-neck-jr-architect-cad-draftperson/6823325398.html,Jr. Architect/CAD Draftperson, (GREAT NECK)
