URL,Title,Address
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-structural/6836786483.html,Facade / Building Envelope Structural Engineer, (TriBeCa)
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-structural/6836785832.html,Facade / Building Envelope Structural Project Engineer, (TriBeCa)
https://newyork.craigslist.org/que/egr/d/long-island-city-structural-engineer/6836738387.html,Structural Engineer, (Long Island City)
https://newyork.craigslist.org/que/egr/d/estimator/6836684890.html,Estimator, (Long Island City)
https://newyork.craigslist.org/brk/egr/d/brooklyn-interior-designer/6836610513.html,Interior Designer, (Brooklyn)
https://newyork.craigslist.org/brk/egr/d/brooklyn-assistant-superintendent/6836503172.html,Assistant Superintendent, (Brooklyn NY)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-seasoned-residential/6836421651.html,Seasoned Residential Architectural Designer/Project Manager wanted, (Manhattan)
https://newyork.craigslist.org/fct/egr/d/beacon-falls-hot-mix-asphalt-hma-paving/6836289560.html,Hot Mix Asphalt (HMA) Paving & Plant Inspectors,
https://newyork.craigslist.org/mnh/egr/d/aspen-forum-phi-architectural-intern/6836067664.html,"FORUM PHI | Architectural Intern- Aspen, Co"," (Aspen, CO)"
https://newyork.craigslist.org/mnh/egr/d/intermediate-designer/6836012739.html,Intermediate Designer, (Flatiron)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-hvac-engineer-project/6835976361.html,HVAC Engineer Project Engineer, (Flatiron)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-hospitality-construction/6835975841.html,Hospitality Construction Project Manager - Hotel/Restaurants, (Midtown West)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-senior-architect-with/6835966022.html,Senior Architect with Cladding Expertise, (Downtown)
https://newyork.craigslist.org/lgi/egr/d/massapequa-park-cad-drafter-for/6835964795.html,CAD Drafter for Engineering Firm, (Massapequa Park)
https://newyork.craigslist.org/brk/egr/d/brooklyn-senior-interior-designer-home/6835733653.html,Senior Interior Designer - Home Studios,
https://newyork.craigslist.org/que/egr/d/astoria-woodwork-architectural/6835660959.html,WOODWORK ARCHITECTURAL  DRAFTSPERSON," (ASTORIA, QUEENS)"
https://newyork.craigslist.org/fct/egr/d/greenwich-assistant-project-manager-apm/6835571096.html,Assistant Project Manager ( APM), (Greenwich Ct)
https://newyork.craigslist.org/brk/egr/d/brooklyn-draftsman/6835522114.html,Draftsman, (Brooklyn)
https://newyork.craigslist.org/brk/egr/d/brooklyn-dob-licensed-superintendent/6835506854.html,DOB Licensed Superintendent 100k-120k year/MUST HAVE DOB LICENSE,
https://newyork.craigslist.org/brk/egr/d/brooklyn-mechanical-engineer-product/6835408885.html,Mechanical Engineer & Product Designer, (BROOKLYN)
https://newyork.craigslist.org/lgi/egr/d/new-hyde-park-systems-engineer/6835210763.html,Systems Engineer," (New Hyde Park, New York)"
https://newyork.craigslist.org/wch/egr/d/spring-valley-junior-interior-designer/6835090134.html,Junior Interior Designer," (Spring Valley, NY)"
https://newyork.craigslist.org/mnh/egr/d/new-york-city-estimator-project-manager/6835041784.html,Estimator/Project Manager, (new york)
https://newyork.craigslist.org/mnh/egr/d/new-york-city-licensed-architect/6835034322.html,Licensed Architect, (Midtown)
https://newyork.craigslist.org/que/egr/d/whitestone-construction-administrative/6834911055.html,Construction Administrative Assistant," (ESG – Astoria, NY)"
